Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
230,0.0445589,-0.00158087,0.0273376,230,284,1346,64,44,64
231,0.0463944,0.00178521,0.0264541,227,282,1342,64,44,64
232,0.0490759,0.00342174,0.0271206,224,280,1338,64,44,64
233,0.057473,0.00882732,0.026925,221,278,1334,64,44,64
234,0.0683918,0.0132644,0.0275934,218,276,1330,64,44,64
235,0.0805457,0.0188841,0.0282151,215,274,1326,64,44,64
236,0.0909973,0.0223815,0.0291726,212,272,1322,64,44,64
237,0.0982395,0.026744,0.0297269,209,270,1318,64,44,64
238,0.103428,0.0265516,0.0299745,206,268,1314,64,44,64
239,0.104975,0.0285985,0.0303694,203,266,1310,64,44,64
240,0.105594,0.0286592,0.0300543,200,264,1306,64,44,64
241,0.106773,0.0291829,0.0307153,197,262,1302,64,44,64
242,0.106331,0.0299063,0.0299914,194,260,1298,64,44,64
243,0.106149,0.0308118,0.0303001,191,258,1294,64,44,64
244,0.105614,0.030191,0.0307049,188,256,1290,64,44,64
245,0.105767,0.0309709,0.0307962,185,254,1286,64,44,64
246,0.10713,0.0306399,0.0304273,182,252,1282,64,44,64
247,0.107654,0.0317064,0.0305896,179,250,1278,64,44,64
248,0.109087,0.0328325,0.0308702,176,248,1274,64,44,64
249,0.109362,0.0332872,0.0312011,173,246,1270,64,44,64
250,0.109959,0.0329986,0.0310862,170,244,1266,64,44,64
251,0.10887,0.0328308,0.0316265,167,242,1262,64,44,64
252,0.10931,0.0318483,0.0314235,164,240,1258,64,44,64
253,0.110025,0.0306532,0.0315448,161,238,1254,64,44,64
254,0.111128,0.031547,0.0310709,158,236,1250,64,44,64
255,0.109955,0.0322491,0.0314085,155,234,1246,64,44,64
256,0.110489,0.0328962,0.0318842,152,232,1242,64,44,64
257,0.110883,0.0318469,0.0317736,149,230,1238,64,44,64
258,0.111462,0.0328473,0.0313534,146,228,1234,64,44,64
259,0.111728,0.0319232,0.0318121,143,226,1230,64,44,64
260,0.112228,0.0322599,0.0317881,140,224,1226,64,44,64
261,0.112999,0.030532,0.0316715,137,222,1222,64,44,64
262,0.112981,0.03094,0.0323758,134,220,1218,64,44,64
263,0.11278,0.0312834,0.0321934,131,218,1214,64,44,64
264,0.112251,0.0326305,0.0312485,128,216,1210,64,44,64
265,0.111219,0.0331394,0.0321234,125,214,1206,64,44,64
266,0.111234,0.0341656,0.0326049,122,212,1202,64,44,64
267,0.111847,0.0327641,0.0324412,119,210,1198,64,44,64
268,0.111411,0.0313938,0.0326659,116,208,1194,64,44,64
269,0.111364,0.0306812,0.0331767,113,206,1190,64,44,64
270,0.110994,0.0311335,0.0333096,110,204,1186,64,44,64
271,0.111258,0.0305771,0.0332794,107,202,1182,64,44,64
272,0.111447,0.0319467,0.0336588,104,200,1178,64,44,64
273,0.110902,0.0305082,0.0341302,101,198,1174,64,44,64
274,0.111809,0.032258,0.034024,98,196,1170,64,44,64
275,0.110899,0.0310881,0.0343305,95,194,1166,64,44,64
276,0.10985,0.0311989,0.0345599,92,192,1162,64,44,64
277,0.108856,0.029849,0.0349662,89,190,1158,64,44,64
278,0.109804,0.0284911,0.0349208,86,188,1154,64,44,64
279,0.109908,0.0278377,0.0346704,83,186,1150,64,44,64
280,0.110118,0.0265975,0.0350317,80,184,1146,64,44,64
281,0.108875,0.0273536,0.0345898,77,182,1142,64,44,64
282,0.108342,0.0263575,0.0347419,74,180,1138,64,44,64
283,0.108197,0.0261633,0.0344635,71,178,1134,64,44,64
284,0.107967,0.0256848,0.0344957,68,176,1130,64,44,64
285,0.107903,0.0249043,0.0344003,65,174,1126,64,44,64
286,0.107526,0.0249753,0.0342572,62,172,1122,64,44,64
287,0.106643,0.0248581,0.0341974,59,170,1118,64,44,64
288,0.106867,0.0246144,0.0336564,56,168,1114,64,44,64
289,0.106786,0.0248774,0.0343976,53,166,1110,64,44,64
290,0.104486,0.0256313,0.034004,50,164,1106,64,44,64
